cohort	run	base	contributing	base_IG_1D	contributing_IG_1D	IG_2D_added	total_IG
RubelMA_2020	0	Eubacterium_eligens	Firmicutes_bacterium_CAG_791	4.58836364746094	24.5907211303711	33.7171783447266	38.3055419921875
RubelMA_2020	0	Firmicutes_bacterium_CAG_83	Bacteroides_uniformis	0.294464111328125	10.0741882324219	29.4442291259766	29.7386932373047
RubelMA_2020	0	Dorea_longicatena	Bacteroides_uniformis	2.14273071289062	10.0741882324219	27.2063903808594	29.34912109375
RubelMA_2020	0	Oscillibacter_sp_57_20	Bacteroides_uniformis	0.03887939453125	10.0741882324219	28.8412475585938	28.880126953125
RubelMA_2020	0	Oscillibacter_sp_57_20	Firmicutes_bacterium_CAG_791	0.03887939453125	24.5907211303711	24.9260177612305	24.9648971557617
RubelMA_2020	0	Clostridium_sp_CAG_510	Bacteroides_uniformis	0.05859375	10.0741882324219	30.9721984863281	31.0307922363281
RubelMA_2020	0	Clostridium_sp_CAG_510	Firmicutes_bacterium_CAG_791	0.05859375	24.5907211303711	28.0307235717773	28.0893173217773
RubelMA_2020	0	Prevotella_intermedia	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312	28.3591918945312
RubelMA_2020	0	Paraprevotella_xylaniphila	Bacteroides_uniformis	2.95936584472656	10.0741882324219	25.6920318603516	28.6513977050781
RubelMA_2020	0	Paraprevotella_xylaniphila	Firmicutes_bacterium_CAG_791	2.95936584472656	24.5907211303711	26.0216064453125	28.9809722900391
RubelMA_2020	0	Roseburia_sp_CAG_471	Bacteroides_uniformis	0.763031005859375	10.0741882324219	28.5803833007812	29.3434143066406
RubelMA_2020	0	Roseburia_sp_CAG_471	Bacteroides_thetaiotaomicron	0.763031005859375	23.5971298217773	25.391357421875	26.1543884277344
RubelMA_2020	0	Roseburia_sp_CAG_471	Firmicutes_bacterium_CAG_791	0.763031005859375	24.5907211303711	25.740348815918	26.5033798217773
RubelMA_2020	0	Clostridium_leptum	Bacteroides_uniformis	0.539840698242188	10.0741882324219	27.7028503417969	28.2426910400391
RubelMA_2020	0	Firmicutes_bacterium_CAG_110	Bacteroides_uniformis	0.847259521484375	10.0741882324219	27.3764953613281	28.2237548828125
RubelMA_2020	0	Firmicutes_bacterium_CAG_110	Firmicutes_bacterium_CAG_791	0.847259521484375	24.5907211303711	24.977294921875	25.8245544433594
RubelMA_2020	0	Dorea_formicigenerans	Bacteroides_uniformis	0.499282836914062	10.0741882324219	31.793701171875	32.2929840087891
RubelMA_2020	0	Dorea_formicigenerans	Firmicutes_bacterium_CAG_791	0.499282836914062	24.5907211303711	26.6265106201172	27.1257934570312
RubelMA_2020	0	Clostridium_sp_CAG_242	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312	28.3591918945312
RubelMA_2020	0	Bacteroides_uniformis	Fusicatenibacter_saccharivorans	10.0741882324219	28.3523712158203	28.3402938842773	38.4144821166992
RubelMA_2020	0	Ruminococcus_torques	Fusicatenibacter_saccharivorans	2.63455200195312	28.3523712158203	34.2877731323242	36.9223251342773
RubelMA_2020	0	Prevotella_sp_885	Fusicatenibacter_saccharivorans	10.3194580078125	28.3523712158203	27.4421310424805	37.761589050293
RubelMA_2020	0	Brachyspira_sp_CAG_700	Fusicatenibacter_saccharivorans	4.06700134277344	28.3523712158203	25.1873550415039	29.2543563842773
RubelMA_2020	0	ARGSYN-PWY:_L-arginine_biosynthesis_I_(via_L-ornithine)	Fusicatenibacter_saccharivorans	1.85865783691406	28.3523712158203	29.7026596069336	31.5613174438477
RubelMA_2020	0	ARGSYNBSUB-PWY:_L-arginine_biosynthesis_II_(acetyl_cycle)	Fusicatenibacter_saccharivorans	1.05271911621094	28.3523712158203	29.4387054443359	30.4914245605469
RubelMA_2020	0	PWY-6147:_6-hydroxymethyl-dihydropterin_diphosphate_biosynthesis_I	Fusicatenibacter_saccharivorans	2.98284912109375	28.3523712158203	25.8105239868164	28.7933731079102
RubelMA_2020	0	Blautia_wexlerae	Bacteroides_uniformis	0.999649047851562	10.0741882324219	29.4355010986328	30.4351501464844
RubelMA_2020	0	Blautia_wexlerae	Bacteroides_thetaiotaomicron	0.999649047851562	23.5971298217773	25.8910064697266	26.8906555175781
