base	contributing	base_IG_1D_mean	contributing_IG_1D_mean	IG_2D_added_mean	IG_2D_added_std	total_IG_mean	n_runs	ig_gain	ig_gain_pct
ANAEROFRUCAT-PWY:_homolactic_fermentation	Streptococcus_mitis	5.05288696289062	34.59668986002603	37.251012166341134	6.152630690709145	42.303899129231766	3	37.251012166341134	737.2223530809175
ANAEROFRUCAT-PWY:_homolactic_fermentation	Streptococcus_vestibularis	5.05288696289062	24.010482788085934	31.7672119140625	0.0	36.8200988769531	3	31.7672119140625	628.6942919437355
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	Actinomyces_odontolyticus	8.0015869140625	32.620361328125	27.187881469726566	0.8401806647654745	35.18946838378907	3	27.187881469726566	339.7811179423027
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	Actinomyces_sp_oral_taxon_181	8.0015869140625	26.2251281738281	25.3504180908203	0.0	33.3520050048828	2	25.3504180908203	316.8173808906312
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	Streptococcus_anginosus_group	8.0015869140625	34.66462198893233	31.9195251464844	1.6387564449175815	39.92111206054683	3	31.9195251464844	398.9149338662683
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	Streptococcus_mitis	8.0015869140625	34.59668986002603	35.5430196126302	7.488832015472062	43.5446065266927	3	35.5430196126302	444.1996318275894
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	Streptococcus_oralis	8.0015869140625	27.8957824707031	25.9545745849609		33.9561614990234	1	25.9545745849609	324.36783932630505
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	Streptococcus_vestibularis	8.0015869140625	24.010482788085934	30.2743428548177	1.4949474575785109	38.2759297688802	3	30.2743428548177	378.3542337284575
ARG+POLYAMINE-SYN:_superpathway_of_arginine_and_polyamine_biosynthesis	Actinomyces_odontolyticus	3.0517578125e-05	32.620361328125	32.620361328125	0.0	32.6203918457031	2	32.620361328125	106890400.0
ARG+POLYAMINE-SYN:_superpathway_of_arginine_and_polyamine_biosynthesis	DTDPRHAMSYN-PWY:_dTDP-L-rhamnose_biosynthesis_I	3.0517578125e-05	3.123779296875	26.7851257324219		26.78515625	1	26.7851257324219	87769500.00000007
