Feature1	Feature2	IG
Bacteroides_sp_CAG_633	Bifidobacterium_saeculare	2.98557281494141
Bacteroides_sp_CAG_633	Blautia_sp_An249	2.46257781982422
Bacteroides_sp_CAG_633	Clostridium_sp_CAG_964	2.98557281494141
Bacteroides_sp_CAG_633	Lactobacillus_curvatus	2.46257781982422
Bacteroides_sp_CAG_633	Roseburia_sp_831b	2.46257781982422
Bacteroides_sp_CAG_661	PWY-6151:_S-adenosyl-L-methionine_cycle_I	4.39253997802734
Bacteroides_sp_D2	Clostridium_scindens	3.06442260742188
Bacteroides_stercoris	Monoglobus_pectinilyticus	7.83824157714844
Bacteroides_thetaiotaomicron	Bacteroides_faecichinchillae	3.0028076171875
Bacteroides_thetaiotaomicron	Enterococcus_faecalis	11.0816345214844
Bacteroides_uniformis	Roseburia_inulinivorans	5.57720947265625
Bacteroides_vulgatus	Clostridium_clostridioforme	17.6755218505859
Bacteroides_vulgatus	Faecalitalea_cylindroides	5.40364837646484
Bacteroides_xylanisolvens	Alistipes_timonensis	5.48378753662109
Bacteroides_xylanisolvens	Atopobium_rimae	9.00366973876953
Bacteroides_xylanisolvens	Bacteroides_fluxus	3.38430786132812
Bacteroides_xylanisolvens	Bacteroides_sp_CAG_443	5.76572418212891
Bacteroides_xylanisolvens	Clostridium_sp_CAG_411	3.01157379150391
Bacteroides_xylanisolvens	Enorma_massiliensis	13.9139175415039
Bacteroides_xylanisolvens	Escherichia_albertii	2.21401977539062
Barnesiella_intestinihominis	Lawsonibacter_asaccharolyticus	7.77986907958984
Bifidobacterium_adolescentis	Bacteroides_cellulosilyticus	6.38471221923828
Bifidobacterium_adolescentis	Desulfovibrionaceae_bacterium	7.05240631103516
Bifidobacterium_bifidum	Alistipes_inops	6.44053649902344
Bifidobacterium_catenulatum	Bacteroides_sp_CAG_144	6.70526123046875
Bifidobacterium_catenulatum	PWY-6123:_inosine-5'-phosphate_biosynthesis_I	7.57456970214844
Bifidobacterium_dentium	GLYCOGENSYNTH-PWY:_glycogen_biosynthesis_I_(from_ADP-D-Glucose)	11.3248443603516
Bifidobacterium_dentium	PWY66-422:_D-galactose_degradation_V_(Leloir_pathway)	8.06999206542969
Bifidobacterium_longum	Corynebacterium_variabile	5.15188598632812
Bifidobacterium_longum	Mogibacterium_diversum	13.3890914916992
Bifidobacterium_pseudocatenulatum	Clostridium_hylemonae	6.61406707763672
Bifidobacterium_pseudocatenulatum	Eggerthella_lenta	6.9539794921875
Bifidobacterium_pseudocatenulatum	Flavonifractor_plautii	6.85595703125
Bifidobacterium_pseudolongum	Bacteroides_sp_CAG_633	2.46257781982422
Bilophila_wadsworthia	Actinomyces_sp_HMSC035G02	6.59999084472656
Bilophila_wadsworthia	Gemella_sanguinis	11.6533889770508
Bilophila_wadsworthia	Streptococcus_gordonii	11.4073028564453
Blautia_obeum	Eubacterium_sp_CAG_180	5.95021057128906
Blautia_wexlerae	PWY-7229:_superpathway_of_adenosine_nucleotides_de_novo_biosynthesis_I	6.13710021972656
Bulleidia_extructa	Enterorhabdus_caecimuris	8.27475738525391
Butyricicoccus_pullicaecorum	Lactobacillus_sanfranciscensis	2.12039184570312
Butyricimonas_virosa	Coprobacter_fastidiosus	6.23931884765625
Butyricimonas_virosa	DTDPRHAMSYN-PWY:_dTDP-L-rhamnose_biosynthesis_I	7.17635345458984
COMPLETE-ARO-PWY:_superpathway_of_aromatic_amino_acid_biosynthesis	PWY-6168:_flavin_biosynthesis_III_(fungi)	9.02626800537109
Campylobacter_hominis	Ruminococcus_champanellensis	2.09846496582031
Candidatus_Gastranaerophilales_bacterium	PWY-4242:_pantothenate_and_coenzyme_A_biosynthesis_III	6.26100158691406
Catabacter_hongkongensis	Ruminococcus_lactaris	6.85250854492188
Catenibacterium_mitsuokai	Ruminococcus_sp_CAG_403	4.89814758300781
Catenibacterium_mitsuokai	[Collinsella]_massiliensis	10.5233459472656
Christensenella_minuta	HISTSYN-PWY:_L-histidine_biosynthesis	9.25881958007812
Citrobacter_braakii	GLUTORN-PWY:_L-ornithine_biosynthesis	1.92591094970703
Citrobacter_freundii	COA-PWY-1:_coenzyme_A_biosynthesis_II_(mammalian)	7.16506195068359
Citrobacter_youngae	PWY-5188:_tetrapyrrole_biosynthesis_I_(from_glutamate)	2.12039184570312
Cloacibacillus_evryensis	Actinotignum_timonense	1.48664855957031
Cloacibacillus_evryensis	Aggregatibacter_aphrophilus	1.48664855957031
Cloacibacillus_evryensis	Clostridium_sp_CAG_678	1.48664855957031
Cloacibacillus_evryensis	Haemophilus_influenzae	1.48664855957031
Cloacibacillus_evryensis	PWY0-845:_superpathway_of_pyridoxal_5'-phosphate_biosynthesis_and_salvage	1.48664855957031
Cloacibacillus_evryensis	PYRIDOXSYN-PWY:_pyridoxal_5'-phosphate_biosynthesis_I	1.48664855957031
Cloacibacillus_evryensis	Parvimonas_sp_oral_taxon_393	1.48664855957031
Cloacibacillus_evryensis	Tannerella_sp_oral_taxon_808	1.48664855957031
Clostridium_aldenense	Bifidobacterium_kashiwanohense	3.14392852783203
Clostridium_aldenense	Eubacterium_sp_CAG_786	3.14392852783203
Clostridium_asparagiforme	Roseburia_sp_CAG_309	6.67574310302734
Clostridium_bolteae	PWY-6123:_inosine-5'-phosphate_biosynthesis_I	11.7829513549805
Clostridium_bolteae	PWY-6936:_seleno-amino_acid_biosynthesis	6.56206512451172
Clostridium_bolteae_CAG_59	PWY-7237:_myo-,_chiro-_and_scillo-inositol_degradation	7.86866760253906
Clostridium_citroniae	Olsenella_profusa	4.83285522460938
Clostridium_citroniae	PWY-7237:_myo-,_chiro-_and_scillo-inositol_degradation	14.5211791992188
Clostridium_clostridioforme	Blautia_hansenii	3.38453674316406
Clostridium_clostridioforme	Clostridiales_bacterium_1_7_47FAA	4.90671539306641
Clostridium_clostridioforme	Enterococcus_casseliflavus	2.52410888671875
Clostridium_clostridioforme	Gemmiger_sp_An87	3.38453674316406
Clostridium_clostridioforme	Peptostreptococcus_anaerobius	4.90671539306641
Clostridium_clostridioforme	Weissella_confusa	2.52410888671875
Clostridium_disporicum	PWY-1042:_glycolysis_IV_(plant_cytosol)	7.17593383789062
Clostridium_disporicum	PWY-5695:_urate_biosynthesis/inosine_5'-phosphate_degradation	8.88468933105469
Clostridium_innocuum	Lactobacillus_johnsonii	1.45366668701172
Clostridium_lavalense	Actinomyces_oris	13.4418182373047
Clostridium_leptum	Bacteroides_sp_CAG_530	10.1404800415039
Clostridium_saccharolyticum	Hungatella_hathewayi	6.91786956787109
Clostridium_sp_CAG_167	TRNA-CHARGING-PWY:_tRNA_charging	8.59748840332031
Clostridium_sp_CAG_167	Treponema_maltophilum	2.46092987060547
