base	contributing	base_IG_1D_mean	contributing_IG_1D_mean	IG_2D_added_mean	IG_2D_added_std	total_IG_mean	n_runs	ig_gain	ig_gain_pct
Actinomyces_naeslundii	Gordonibacter_pamelaeae	0.120193481445312	14.6438446044922	25.7967071533203		25.9169006347656	1	25.7967071533203	21462.650755363793
Actinomyces_oris	Eubacterium_sulci	0.120193481445312	22.1616516113281	25.26708984375	0.0	25.3872833251953	3	25.26708984375	21022.01345689992
Actinomyces_oris	Gordonibacter_pamelaeae	0.120193481445312	14.6438446044922	25.7967071533203		25.9169006347656	1	25.7967071533203	21462.650755363793
Actinomyces_radicidentis	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Actinomyces_sp_HPA0247	Gordonibacter_pamelaeae	0.120193481445312	14.6438446044922	25.0034027099609		25.1235961914062	1	25.0034027099609	20802.627904024426
Actinomyces_sp_ICM47	Blautia_hydrogenotrophica	0.0160064697265625	25.5003662109375	25.5738372802734	0.0	25.58984375	3	25.5738372802734	159771.8779790274
Actinomyces_sp_ICM47	Gordonibacter_pamelaeae	0.0160064697265625	14.6438446044922	25.4207305908203		25.4367370605469	1	25.4207305908203	158815.3479504289
Actinomyces_sp_S6_Spd3	Blautia_hydrogenotrophica	0.946258544921875	25.5003662109375	26.115966796875	0.0	27.0622253417969	3	26.115966796875	2759.918728029155
Actinomyces_sp_oral_taxon_170	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Actinomyces_sp_oral_taxon_180	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Actinomyces_sp_oral_taxon_414	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Actinomyces_sp_oral_taxon_448	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Actinomyces_sp_oral_taxon_897	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Actinomyces_urogenitalis	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Actinomyces_viscosus	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Actinotignum_schaalii	Blautia_hydrogenotrophica	0.946258544921875	25.5003662109375	26.115966796875	0.0	27.0622253417969	3	26.115966796875	2759.918728029155
Actinotignum_timonense	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Aeriscardovia_aeriphila	Blautia_hydrogenotrophica	0.874160766601562	25.5003662109375	25.4389801025391	0.0	26.3131408691406	3	25.4389801025391	2910.1031611653257
Aeriscardovia_aeriphila	Gordonibacter_pamelaeae	0.874160766601562	14.6438446044922	24.9083862304688		25.7825469970703	1	24.9083862304688	2849.4056450627595
Aerococcus_christensenii	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Aerococcus_urinaeequi	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Aerococcus_viridans	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Aeromonas_allosaccharophila	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Aeromonas_caviae	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Aeromonas_dhakensis	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Aeromonas_hydrophila	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Aeromonas_media	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Aeromonas_veronii	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Agathobaculum_butyriciproducens	Anaerostipes_hadrus	0.066375732421875	8.06358337402344	25.380126953125		25.4465026855469	1	25.380126953125	38237.05747126437
Agathobaculum_butyriciproducens	Bifidobacterium_bifidum	0.066375732421875	18.0427398681641	33.6904296875		33.7568054199219	1	33.6904296875	50757.14942528735
Agathobaculum_butyriciproducens	Blautia_hydrogenotrophica	0.194549560546875	25.5003662109375	32.079493204752595	5.050168878004238	32.27404276529947	3	32.079493204752595	16489.111111111106
Agathobaculum_butyriciproducens	Butyrivibrio_crossotus	0.066375732421875	10.70458984375	30.3216094970703		30.3879852294922	1	30.3216094970703	45681.77011494251
Agathobaculum_butyriciproducens	Clostridium_innocuum	0.066375732421875	13.5889129638672	30.6837921142578		30.7501678466797	1	30.6837921142578	46227.4252873563
Agathobaculum_butyriciproducens	Clostridium_sp_CAG_242	0.066375732421875	11.9191436767578	26.8287353515625		26.8951110839844	1	26.8287353515625	40419.49425287356
Agathobaculum_butyriciproducens	Collinsella_intestinalis	0.066375732421875	1.15223693847656	25.0965423583984		25.1629180908203	1	25.0965423583984	37809.816091953966
Agathobaculum_butyriciproducens	Coprococcus_eutactus	0.066375732421875	15.9477844238281	33.6849822998047		33.7513580322266	1	33.6849822998047	50748.94252873566
Agathobaculum_butyriciproducens	Eubacterium_sulci	0.066375732421875	22.1616516113281	29.1399383544922	3.896165269677537	29.2063140869141	2	29.1399383544922	43901.494252873585
Agathobaculum_butyriciproducens	Firmicutes_bacterium_CAG_170	0.066375732421875	9.32095336914062	28.4844970703125		28.5508728027344	1	28.4844970703125	42914.02298850575
Agathobaculum_butyriciproducens	GLYCOGENSYNTH-PWY:_glycogen_biosynthesis_I_(from_ADP-D-Glucose)	0.066375732421875	12.3609924316406	25.00146484375		25.0678405761719	1	25.00146484375	37666.574712643676
Agathobaculum_butyriciproducens	Gemmiger_formicilis	0.066375732421875	0.0358734130859375	33.766357421875		33.8327331542969	1	33.766357421875	50871.54022988505
Agathobaculum_butyriciproducens	Gordonibacter_pamelaeae	0.066375732421875	14.6438446044922	31.8220825195312		31.8884582519531	1	31.8220825195312	47942.34482758614
Agathobaculum_butyriciproducens	Lachnoclostridium_sp_An138	0.066375732421875	11.5182952880859	27.7544403076172		27.8208160400391	1	27.7544403076172	41814.1379310345
Agathobaculum_butyriciproducens	Mogibacterium_diversum	0.066375732421875	21.3988952636719	30.01295471191405	4.967032396642312	30.07933044433595	2	30.01295471191405	45216.75862068963
Agathobaculum_butyriciproducens	Odoribacter_splanchnicus	0.066375732421875	10.5843353271484	25.3041229248047		25.3704986572266	1	25.3041229248047	38122.55172413795
Agathobaculum_butyriciproducens	Oscillibacter_sp_CAG_241	0.066375732421875	10.8760681152344	26.2857818603516		26.3521575927734	1	26.2857818603516	39601.49425287362
Agathobaculum_butyriciproducens	PWY-5100:_pyruvate_fermentation_to_acetate_and_lactate_II	0.066375732421875	12.130409240722654	29.6311264038086	3.234256094484486	29.6975021362305	2	29.6311264038086	44641.505747126444
Agathobaculum_butyriciproducens	Parvimonas_micra	0.066375732421875	13.7366943359375	30.5214385986328		30.5878143310547	1	30.5214385986328	45982.82758620688
Agathobaculum_butyriciproducens	Peptostreptococcus_stomatis	0.066375732421875	17.6740570068359	29.55550384521485	5.060330009205151	29.621879577636697	2	29.55550384521485	44527.57471264369
Agathobaculum_butyriciproducens	Romboutsia_ilealis	0.066375732421875	9.86744689941406	25.5862121582031		25.652587890625	1	25.5862121582031	38547.540229885024
Agathobaculum_butyriciproducens	Roseburia_sp_CAG_182	0.066375732421875	13.3745574951172	30.4786834716797		30.5450592041016	1	30.4786834716797	45918.41379310347
Agathobaculum_butyriciproducens	Ruminococcaceae_bacterium_D16	0.066375732421875	13.4336853027344	26.8559722900391		26.9223480224609	1	26.8559722900391	40460.528735632244
Agathobaculum_butyriciproducens	SER-GLYSYN-PWY:_superpathway_of_L-serine_and_glycine_biosynthesis_I	0.066375732421875	15.0433197021484	26.7244262695312		26.7908020019531	1	26.7244262695312	40262.34482758613
Aggregatibacter_sp_oral_taxon_458	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Agitococcus_lubricus	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Akkermansia_muciniphila	Blautia_hydrogenotrophica	5.7715072631835955	25.5003662109375	27.665580749511697	0.2978682999910755	33.4370880126953	2	27.665580749511697	479.3475861321399
Akkermansia_muciniphila	Gordonibacter_pamelaeae	4.57035827636719	14.6438446044922	30.4374542236328		35.0078125	1	30.4374542236328	665.9752339553216
Akkermansia_muciniphila	PWY-5100:_pyruvate_fermentation_to_acetate_and_lactate_II	4.57035827636719	4.10249328613281	25.517578125		30.0879364013672	1	25.517578125	558.3277411083619
Alcaligenes_aquatilis	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Alistipes_finegoldii	Bifidobacterium_bifidum	3.27919006347656	18.0427398681641	25.5991973876953		28.8783874511719	1	25.5991973876953	780.6561038598453
Alistipes_finegoldii	Blautia_hydrogenotrophica	3.085792541503905	25.5003662109375	32.2177658081055	6.325841397836956	35.30355834960935	2	32.2177658081055	1044.067784038512
Alistipes_finegoldii	Eubacterium_sulci	3.27919006347656	22.1616516113281	26.6741485595703		29.9533386230469	1	26.6741485595703	813.4371001140041
Alistipes_finegoldii	Gordonibacter_pamelaeae	3.27919006347656	14.6438446044922	25.8992156982422		29.1784057617188	1	25.8992156982422	789.8052627905364
Alistipes_finegoldii	Mogibacterium_diversum	3.27919006347656	21.3988952636719	25.9438018798828		29.2229919433594	1	25.9438018798828	791.16493334264
Alistipes_finegoldii	PWY-5100:_pyruvate_fermentation_to_acetate_and_lactate_II	3.27919006347656	20.1583251953125	26.1303253173828		29.4095153808594	1	26.1303253173828	796.8530280821761
Alistipes_indistinctus	Blautia_hydrogenotrophica	0.17881774902343764	25.5003662109375	26.671686808268202	1.092343740245051	26.850504557291668	3	26.671686808268202	14915.57015672552
Alistipes_indistinctus	Gordonibacter_pamelaeae	0.18914794921875	14.6438446044922	25.6600646972656		25.8492126464844	1	25.6600646972656	13566.134236850585
Alistipes_indistinctus	Mogibacterium_diversum	0.26418304443359397	21.3988952636719	27.65483856201175	0.9691104733184077	27.9190216064453	2	27.65483856201175	10468.059606665322
Alistipes_inops	Blautia_hydrogenotrophica	0.754318237304688	25.5003662109375	25.708134969075534	0.6176560095938245	26.462453206380232	3	25.708134969075534	3408.128518930582
Alistipes_onderdonkii	Blautia_hydrogenotrophica	0.4771499633789065	25.5003662109375	25.99195098876955	0.19137501492161302	26.4691009521484	2	25.99195098876955	5447.333749060617
Alistipes_onderdonkii	Gordonibacter_pamelaeae	1.91584777832031	14.6438446044922	26.431884765625		28.3477325439453	1	26.431884765625	1379.6443049770241
Alistipes_putredinis	Blautia_hydrogenotrophica	2.1720275878906268	25.5003662109375	25.587137858072897	0.3825013225314481	27.759165445963532	3	25.587137858072897	1178.030058214958
Alistipes_putredinis	Gordonibacter_pamelaeae	1.84077453613281	14.6438446044922	25.6806182861328		27.5213928222656	1	25.6806182861328	1395.0985186965868
Alistipes_shahii	Blautia_hydrogenotrophica	2.83731079101562	25.5003662109375	26.1776733398438		29.0149841308594	1	26.1776733398438	922.62269691201
Alistipes_sp_An31A	Gordonibacter_pamelaeae	0.03106689453125	14.6438446044922	25.4044189453125		25.4354858398438	1	25.4044189453125	81773.28094302554
Alistipes_sp_CAG_831	Gordonibacter_pamelaeae	0.211471557617188	14.6438446044922	24.9084167480469		25.1198883056641	1	24.9084167480469	11778.613175553775
Alistipes_sp_CHKCI003	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
