Feature1	Feature2	IG
Atopobium_rimae	Alloprevotella_rava	0.721542358398438
Atopobium_rimae	Alloprevotella_tannerae	0.721542358398438
Atopobium_rimae	Anaerobiospirillum_thomasii	0.721542358398438
Atopobium_rimae	Anaerococcus_hydrogenalis	0.721542358398438
Atopobium_rimae	Anaerococcus_lactolyticus	0.721542358398438
Atopobium_rimae	Anaerococcus_prevotii	0.721542358398438
Atopobium_rimae	Anaerocolumna_aminovalerica	0.721542358398438
Atopobium_rimae	Anaerolineaceae_bacterium_oral_taxon_439	0.721542358398438
Atopobium_rimae	Anaeromassilibacillus_sp_An172	0.721542358398438
Atopobium_rimae	Anaerosporobacter_mobilis	0.721542358398438
Atopobium_rimae	Anaerostipes_sp_494a	0.721542358398438
Atopobium_rimae	Anaerostipes_sp_992a	0.721542358398438
Atopobium_rimae	Anaerotruncus_sp_CAG_528	0.721542358398438
Atopobium_rimae	Arcobacter_butzleri	0.721542358398438
Atopobium_rimae	Arcobacter_cryaerophilus	0.721542358398438
Atopobium_rimae	Arthrospira_platensis	0.721542358398438
Atopobium_rimae	Aspergillus_cristatus	0.721542358398438
Atopobium_rimae	Atopobium_minutum	0.721542358398438
Atopobium_rimae	BIOTIN-BIOSYNTHESIS-PWY:_biotin_biosynthesis_I	0.721542358398438
Atopobium_rimae	Bacillus_aerius	0.721542358398438
Atopobium_rimae	Bacillus_altitudinis	0.721542358398438
Atopobium_rimae	Bacillus_cereus_group	0.721542358398438
Atopobium_rimae	Bacillus_coagulans	0.721542358398438
Atopobium_rimae	Bacillus_haynesii	0.721542358398438
Atopobium_rimae	Bacillus_megaterium	0.721542358398438
Atopobium_rimae	Bacillus_sp_FJAT_27916	0.721542358398438
Atopobium_rimae	Bacillus_stratosphericus	0.721542358398438
Atopobium_rimae	Bacteroidales_bacterium_KA00251	0.721542358398438
Atopobium_rimae	Bacteroides_caecimuris	0.721542358398438
Atopobium_rimae	Bacteroides_coagulans	0.721542358398438
Atopobium_rimae	Bacteroides_fluxus	0.721542358398438
Atopobium_rimae	Bacteroides_graminisolvens	0.721542358398438
Atopobium_rimae	Bacteroides_pectinophilus	0.721542358398438
Atopobium_rimae	Bacteroides_pyogenes	0.721542358398438
Atopobium_rimae	Bacteroides_salanitronis	0.721542358398438
Atopobium_rimae	Bacteroides_sp_An322	0.721542358398438
Atopobium_rimae	Bacteroides_sp_CAG_144	0.721542358398438
Atopobium_rimae	Bacteroides_sp_CAG_443	0.721542358398438
