disease	base	contributing	n_cohorts	cohorts	mean_total_ig	min_total_ig	max_total_ig	mean_ig_gain_pct
IBD; control	PWY-5100:_pyruvate_fermentation_to_acetate_and_lactate_II	Coprococcus_eutactus	2	HallAB_2017, NielsenHB_2014	32.851615905761754	30.0747222900391	35.6285095214844	1228.4052719181225
IBD; control	Gemmiger_formicilis	PWY-6387:_UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_I_(meso-diaminopimelate_containing)	2	HallAB_2017, NielsenHB_2014	32.7565612792969	25.1405181884766	40.3726043701172	35710.891283358455
IBD; control	Gemmiger_formicilis	Mogibacterium_diversum	2	HallAB_2017, NielsenHB_2014	32.69175720214842	29.99713134765625	35.3863830566406	3164.548232901212
IBD; control	Agathobaculum_butyriciproducens	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	32.252632141113274	31.8884582519531	32.61680603027345	24404.695869795676
IBD; control	Bacteroides_uniformis	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	32.198003133138	29.4937591552734	34.9022471110026	6349.43290737038
IBD; control	Agathobaculum_butyriciproducens	Coprococcus_eutactus	2	HallAB_2017, NielsenHB_2014	32.16130828857425	30.5712585449219	33.7513580322266	25777.670776676605
IBD; control	Clostridium_sp_CAG_167	Blautia_hydrogenotrophica	2	HallAB_2017, NielsenHB_2014	32.10638936360678	28.134470621744768	36.0783081054688	1750.614698618995
IBD; control	Asaccharobacter_celatus	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	32.08642578125	31.4305114746094	32.7423400878906	648.6183514831303
IBD; control	Gemmiger_formicilis	Streptococcus_australis	2	HallAB_2017, NielsenHB_2014	32.0765686035156	25.0496215820312	39.103515625	35559.986858265554
IBD; control	UDPNAGSYN-PWY:_UDP-N-acetyl-D-glucosamine_biosynthesis_I	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	32.055919647216825	26.7410583496094	37.37078094482425	4130.837649650786
IBD; control	Clostridium_clostridioforme	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	32.0152816772461	26.9253387451172	37.105224609375	93614.87459095755
IBD; control	Gemmiger_formicilis	[Collinsella]_massiliensis	2	HallAB_2017, NielsenHB_2014	31.96524047851565	28.4901733398438	35.4403076171875	40285.500670401205
IBD; control	PANTO-PWY:_phosphopantothenate_biosynthesis_I	Coprococcus_eutactus	2	HallAB_2017, NielsenHB_2014	31.71443939208985	27.7153167724609	35.7135620117188	4356.332030969674
IBD; control	Firmicutes_bacterium_CAG_83	Eubacterium_sulci	2	HallAB_2017, NielsenHB_2014	31.57955169677735	25.9005126953125	37.2585906982422	4627.701652814913
IBD; control	Gemmiger_formicilis	Eubacterium_sp_CAG_274	2	HallAB_2017, NielsenHB_2014	31.540069580078097	25.0388488769531	38.0412902832031	35524.705178548335
IBD; control	Bacteroides_ovatus	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	31.431732177734347	25.9147033691406	36.9487609863281	4145.666043335711
IBD; control	Gemmiger_formicilis	Acidaminococcus_intestini	2	HallAB_2017, NielsenHB_2014	30.9344711303711	25.5915222167969	36.2774200439453	36261.361816167315
IBD; control	PEPTIDOGLYCANSYN-PWY:_peptidoglycan_biosynthesis_I_(meso-diaminopimelate_containing)	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	30.768196105957053	26.0388641357422	35.4975280761719	2912.0118248198164
IBD; control	PWY-1042:_glycolysis_IV_(plant_cytosol)	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	30.696094512939446	26.2702941894531	35.121894836425795	1888.736433068745
