data_type,base_feature,contributing_feature,base_IG_1D_mean,total_IG_2D_mean,ig_difference_raw,ig_difference_pct,pair_ig_count
functions,"GLYCOLYSIS-TCA-GLYOX-BYPASS:_superpathway_of_glycolysis,_pyruvate_dehydrogenase,_TCA,_and_glyoxylate_bypass",ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.109,109.642,109.533,100819.55,2/28
functions,GALACT-GLUCUROCAT-PWY:_superpathway_of_hexuronide_and_hexuronate_degradation,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,2.516,112.0,109.484,4351.56,10/28
functions,PWY-7323:_superpathway_of_GDP-mannose-derived_O-antigen_building_blocks_biosynthesis,PWY-5918:_superpathway_of_heme_b_biosynthesis_from_glutamate,7.917,117.356,109.438,1382.25,8/28
functions,PWY-7400:_L-arginine_biosynthesis_IV_(archaebacteria),ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.396,109.768,109.372,27619.42,2/28
functions,PWY-6305:_superpathway_of_putrescine_biosynthesis,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,0.459,109.791,109.332,23795.09,6/28
functions,P185-PWY:_formaldehyde_assimilation_III_(dihydroxyacetone_cycle),P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,3.534,112.857,109.323,3093.29,2/28
functions,FUCCAT-PWY:_fucose_degradation,ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.864,110.103,109.239,12650.38,8/28
functions,GLUCUROCAT-PWY:_superpathway_of_&beta;-D-glucuronosides_degradation,PWY-7204:_pyridoxal_5'-phosphate_salvage_II_(plants),1.426,110.654,109.228,7659.63,2/28
functions,"PWY-7013:_(S)-propane-1,2-diol_degradation",P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,2.818,111.998,109.18,3874.57,4/28
functions,PWY-7434:_terminal_O-glycans_residues_modification_(via_type_2_precursor_disaccharide),ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.012,109.181,109.169,876776.47,2/28
functions,PWY-5973:_cis-vaccenate_biosynthesis,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,4.096,113.254,109.158,2665.03,2/28
functions,PWY-7323:_superpathway_of_GDP-mannose-derived_O-antigen_building_blocks_biosynthesis,ORNDEG-PWY:_superpathway_of_ornithine_degradation,7.029,116.183,109.154,1552.82,12/28
functions,PWY-6628:_superpathway_of_L-phenylalanine_biosynthesis,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,1.287,110.405,109.118,8480.18,4/28
functions,PWY-7228:_superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_I,PWY-5918:_superpathway_of_heme_b_biosynthesis_from_glutamate,1.173,110.195,109.022,9291.57,2/28
functions,LACTOSECAT-PWY:_lactose_and_galactose_degradation_I,COMPLETE-ARO-PWY:_superpathway_of_aromatic_amino_acid_biosynthesis,1.825,110.833,109.008,5972.01,4/28
functions,P161-PWY:_acetylene_degradation_(anaerobic),PWY-6174:_mevalonate_pathway_II_(haloarchaea),2.073,111.081,109.008,5257.21,2/28
functions,P161-PWY:_acetylene_degradation_(anaerobic),PWY-8125:_mevalonate_pathway_IV_(archaea),2.073,111.081,109.008,5257.21,2/28
functions,PWY-6387:_UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_I_(meso-diaminopimelate_containing),P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,6.456,115.462,109.006,1688.37,2/28
functions,PWY-7392:_taxadiene_biosynthesis_(engineered),ORNDEG-PWY:_superpathway_of_ornithine_degradation,2.941,111.902,108.961,3705.15,8/28
functions,"GLCMANNANAUT-PWY:_superpathway_of_N-acetylglucosamine,_N-acetylmannosamine_and_N-acetylneuraminate_degradation",ORNDEG-PWY:_superpathway_of_ornithine_degradation,1.146,110.099,108.953,9506.73,8/28
functions,PWY-5514:_UDP-N-acetyl-D-galactosamine_biosynthesis_II,ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.338,109.275,108.937,32193.8,2/28
functions,PWY-6182:_superpathway_of_salicylate_degradation,ORNDEG-PWY:_superpathway_of_ornithine_degradation,3.446,112.292,108.846,3158.47,4/28
functions,PWY-6901:_superpathway_of_glucose_and_xylose_degradation,ORNDEG-PWY:_superpathway_of_ornithine_degradation,2.104,110.946,108.842,5174.05,10/28
functions,LACTOSECAT-PWY:_lactose_and_galactose_degradation_I,PWY-5920:_superpathway_of_heme_b_biosynthesis_from_glycine,1.825,110.65,108.824,5961.94,4/28
functions,FUC-RHAMCAT-PWY:_superpathway_of_fucose_and_rhamnose_degradation,ORNDEG-PWY:_superpathway_of_ornithine_degradation,3.093,111.865,108.772,3516.85,8/28
functions,PWY-6147:_6-hydroxymethyl-dihydropterin_diphosphate_biosynthesis_I,ORNDEG-PWY:_superpathway_of_ornithine_degradation,2.966,111.727,108.761,3666.54,6/28
functions,PWY-6859:_all-trans-farnesol_biosynthesis,ORNDEG-PWY:_superpathway_of_ornithine_degradation,2.135,110.806,108.671,5089.36,8/28
functions,PWY-841:_superpathway_of_purine_nucleotides_de_novo_biosynthesis_I,PWY-5918:_superpathway_of_heme_b_biosynthesis_from_glutamate,0.076,108.746,108.67,143123.07,8/28
functions,UDPNACETYLGALSYN-PWY:_UDP-N-acetyl-D-glucosamine_biosynthesis_II,ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.809,109.472,108.664,13438.62,2/28
functions,PWY-621:_sucrose_degradation_III_(sucrose_invertase),P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,6.412,115.033,108.621,1694.12,12/28
functions,PWY-841:_superpathway_of_purine_nucleotides_de_novo_biosynthesis_I,PWY-5189:_tetrapyrrole_biosynthesis_II_(from_glycine),0.001,108.619,108.618,11122525.0,2/28
functions,PWY-6185:_4-methylcatechol_degradation_(ortho_cleavage),P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,2.505,111.095,108.59,4335.15,4/28
functions,PWY-6572:_chondroitin_sulfate_degradation_I_(bacterial),P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,0.399,108.949,108.55,27210.53,2/28
