feature1,feature2,pair_ig_mean,pair_ig_std,pair_ig_count,f1_ig_mean,f2_ig_mean,mean_individual_ig,ig_difference_raw,ig_difference_pct
P163-PWY:_L-lysine_fermentation_to_acetate_and_butanoate,PWY0-1415:_superpathway_of_heme_b_biosynthesis_from_uroporphyrinogen-III,78.229248046875,0.0,3,55.001708984375,46.139892578125,50.57080078125,27.658447265625,35.35563482478069
PWY-6124:_inosine-5'-phosphate_biosynthesis_II,PWY4LZ-257:_superpathway_of_fermentation_(Chlamydomonas_reinhardtii),66.168212890625,0.0,3,13.236328125,72.335693359375,42.7860107421875,23.3822021484375,35.33751498939212
ORNDEG-PWY:_superpathway_of_ornithine_degradation,PWY-6124:_inosine-5'-phosphate_biosynthesis_II,91.984619140625,0.0,3,106.11572265625,13.236328125,59.676025390625,32.30859375,35.12390881415403
GLYCOL-GLYOXDEG-PWY:_superpathway_of_glycol_metabolism_and_degradation,PWY-2941:_L-lysine_biosynthesis_II,79.453125,2.921008678257533,6,62.5853271484375,43.9705810546875,53.2779541015625,26.1751708984375,32.944167895771876
P163-PWY:_L-lysine_fermentation_to_acetate_and_butanoate,PWY-5675:_nitrate_reduction_V_(assimilatory),75.4500732421875,4.028087548761747,6,56.5675048828125,49.0909423828125,52.8292236328125,22.620849609375,29.981216236549223
PWY-5918:_superpathway_of_heme_b_biosynthesis_from_glutamate,GALACT-GLUCUROCAT-PWY:_superpathway_of_hexuronide_and_hexuronate_degradation,61.999853515625,3.446881653703074,15,86.6953125,0.758056640625,43.7266845703125,18.2731689453125,29.472922771837446
PWY-6507:_4-deoxy-L-threo-hex-4-enopyranuronate_degradation,PWY-5918:_superpathway_of_heme_b_biosynthesis_from_glutamate,64.482421875,6.919153841678024,24,9.78826904296875,82.24728393554688,46.01777648925781,18.464645385742188,28.63516110101469
"PRPP-PWY:_superpathway_of_histidine,_purine,_and_pyrimidine_biosynthesis",P163-PWY:_L-lysine_fermentation_to_acetate_and_butanoate,59.439697265625,0.0,3,32.799072265625,55.001708984375,43.900390625,15.539306640625,26.142977430020743
PWY-2941:_L-lysine_biosynthesis_II,TCA-GLYOX-BYPASS:_superpathway_of_glyoxylate_bypass_and_TCA,64.59773763020833,1.28564453125,9,42.658610026041664,53.565348307291664,48.111979166666664,16.485758463541664,25.52064370723767
PWY-7221:_guanosine_ribonucleotides_de_novo_biosynthesis,PWY-5189:_tetrapyrrole_biosynthesis_II_(from_glycine),60.587158203125,0.0,3,13.38330078125,78.383544921875,45.8834228515625,14.7037353515625,24.26873249652449
PWY-6507:_4-deoxy-L-threo-hex-4-enopyranuronate_degradation,PWY-5189:_tetrapyrrole_biosynthesis_II_(from_glycine),62.23712158203125,6.56264395911314,24,9.864990234375,90.6112060546875,50.23809814453125,11.9990234375,19.279528250169413
PWY-2941:_L-lysine_biosynthesis_II,PWY4LZ-257:_superpathway_of_fermentation_(Chlamydomonas_reinhardtii),66.15576171875,0.0,3,45.704345703125,72.90478515625,59.3045654296875,6.8511962890625,10.356159631551366
