data_type,base_feature,contributing_feature,base_IG_1D_mean,total_IG_2D_mean,ig_difference_raw,ig_difference_pct,pair_ig_count
taxa,Citrobacter_freundii,Fusobacterium_nucleatum,0.371,422.624,422.254,113911.15,18/28
taxa,Actinomyces_sp_oral_taxon_448,Fusobacterium_nucleatum,12.229,434.446,422.216,3452.44,2/28
taxa,Intestinimonas_butyriciproducens,Fusobacterium_nucleatum,1.353,423.544,422.191,31210.31,18/28
taxa,GGB49418_SGB69331,Fusobacterium_nucleatum,1.441,423.472,422.031,29293.03,10/28
taxa,Blautia_caecimuris,Fusobacterium_nucleatum,36.935,458.952,422.017,1142.59,2/28
taxa,Clostridium_sp_AF15_49,Fusobacterium_nucleatum,2.162,424.174,422.013,19521.87,8/28
taxa,GGB9559_SGB14969,Fusobacterium_nucleatum,1.781,423.78,422.0,23697.71,14/28
taxa,Phocea_massiliensis,Fusobacterium_nucleatum,9.632,431.627,421.996,4381.37,2/28
taxa,Hydrogeniiclostidium_mannosilyticum,Fusobacterium_nucleatum,0.658,422.636,421.978,64119.28,22/28
taxa,Clostridiales_bacterium_KLE1615,Fusobacterium_nucleatum,3.588,425.533,421.945,11759.18,18/28
taxa,GGB3523_SGB4703,Fusobacterium_nucleatum,23.665,445.601,421.936,1782.95,2/28
taxa,Enterocloster_bolteae,Fusobacterium_nucleatum,3.328,425.256,421.928,12677.96,6/28
taxa,Streptococcus_cristatus,Fusobacterium_nucleatum,3.801,425.707,421.907,11100.92,22/28
taxa,Clostridiaceae_bacterium_OM08_6BH,Fusobacterium_nucleatum,1.297,423.141,421.844,32527.74,12/28
taxa,Mediterraneibacter_sp_gm002,Fusobacterium_nucleatum,0.848,422.679,421.831,49765.87,20/28
taxa,Butyricicoccus_sp_AM29_23AC,Fusobacterium_nucleatum,4.452,426.268,421.816,9473.91,6/28
taxa,Actinomyces_sp_ICM47,Fusobacterium_nucleatum,0.339,422.063,421.724,124252.13,18/28
taxa,Bacteroides_stercoris,Fusobacterium_nucleatum,0.544,422.16,421.616,77493.29,8/28
taxa,Blautia_SGB4805,Fusobacterium_nucleatum,1.392,422.983,421.591,30297.39,16/28
taxa,Ruminococcus_gnavus,Fusobacterium_nucleatum,3.601,425.188,421.588,11709.07,8/28
taxa,Parabacteroides_goldsteinii,Fusobacterium_nucleatum,4.853,426.425,421.571,8686.19,6/28
taxa,Streptococcus_mutans,Fusobacterium_nucleatum,10.737,432.274,421.537,3926.0,2/28
taxa,Actinomyces_SGB17154,Fusobacterium_nucleatum,20.496,441.969,421.473,2056.36,2/28
taxa,GGB9501_SGB14898,Fusobacterium_nucleatum,1.639,423.079,421.439,25711.74,22/28
taxa,Faecalimonas_umbilicata,Fusobacterium_nucleatum,0.586,422.001,421.416,71954.94,18/28
taxa,Alistipes_putredinis,Fusobacterium_nucleatum,4.808,426.17,421.362,8764.25,20/28
taxa,Faecalicatena_fissicatena,Fusobacterium_nucleatum,2.86,424.183,421.323,14731.92,14/28
taxa,Blautia_sp_OF03_15BH,Fusobacterium_nucleatum,5.307,426.629,421.322,7938.91,6/28
taxa,Pseudoruminococcus_massiliensis,Fusobacterium_nucleatum,1.502,422.732,421.23,28036.34,6/28
taxa,Rikenellaceae_bacterium,Fusobacterium_nucleatum,0.55,421.623,421.073,76586.01,12/28
taxa,Actinomyces_graevenitzii,Fusobacterium_nucleatum,9.431,430.474,421.043,4464.26,22/28
taxa,Candidatus_Parachristensenella_avicola,Fusobacterium_nucleatum,2.546,423.487,420.941,16534.26,20/28
taxa,Rikenellaceae_unclassified_SGB2227,Fusobacterium_nucleatum,4.442,425.342,420.899,9474.63,4/28
taxa,Propionibacterium_acidifaciens,Fusobacterium_nucleatum,13.996,434.801,420.805,3006.64,2/28
taxa,Alistipes_timonensis,Fusobacterium_nucleatum,0.053,420.835,420.783,800709.18,16/28
taxa,Odoribacter_splanchnicus,Fusobacterium_nucleatum,7.608,428.266,420.658,5529.45,22/28
taxa,Alistipes_communis,Fusobacterium_nucleatum,2.828,423.474,420.646,14876.61,22/28
taxa,Lachnospira_SGB5077,Fusobacterium_nucleatum,6.512,427.142,420.63,6459.59,2/28
taxa,Clostridium_spiroforme,Fusobacterium_nucleatum,7.354,427.958,420.604,5719.54,20/28
taxa,Blautia_faecicola,Fusobacterium_nucleatum,1.739,422.211,420.472,24182.17,10/28
taxa,Dorea_sp_AF36_15AT,Fusobacterium_nucleatum,2.077,422.499,420.423,20246.66,22/28
taxa,GGB9646_SGB15123,Fusobacterium_nucleatum,5.139,425.555,420.416,8180.24,12/28
taxa,Ruminococcus_lactaris,Fusobacterium_nucleatum,7.224,427.473,420.25,5817.45,20/28
taxa,Prevotella_bivia,Fusobacterium_nucleatum,9.035,429.276,420.241,4651.43,4/28
taxa,Clostridium_scindens,Fusobacterium_nucleatum,3.506,423.689,420.182,11983.1,18/28
taxa,Ruminococcaceae_unclassified_SGB15265,Fusobacterium_nucleatum,0.257,420.23,419.972,163130.06,4/28
taxa,Bifidobacterium_breve,Fusobacterium_nucleatum,0.182,419.98,419.798,230186.4,10/28
taxa,Actinomyces_oris,Fusobacterium_nucleatum,15.105,434.887,419.782,2779.09,2/28
taxa,Roseburia_sp_AF02_12,Fusobacterium_nucleatum,4.364,424.115,419.751,9618.6,8/28
taxa,Enterocloster_aldensis,Fusobacterium_nucleatum,12.818,432.553,419.735,3274.61,4/28
taxa,Prevotella_copri_clade_A,Fusobacterium_nucleatum,1.601,421.308,419.707,26214.07,2/28
taxa,Alistipes_shahii,Fusobacterium_nucleatum,4.717,424.419,419.701,8897.19,20/28
taxa,Clostridium_SGB6179,Fusobacterium_nucleatum,3.277,422.934,419.658,12807.57,20/28
taxa,Clostridium_sp_AM33_3,Fusobacterium_nucleatum,8.467,428.117,419.65,4956.31,22/28
taxa,Dorea_longicatena,Fusobacterium_nucleatum,5.626,425.265,419.639,7458.63,8/28
taxa,GGB9694_SGB15201,Fusobacterium_nucleatum,5.374,424.943,419.569,7808.06,22/28
taxa,Alistipes_onderdonkii,Fusobacterium_nucleatum,3.147,422.715,419.568,13333.58,20/28
taxa,Blautia_SGB4831,Fusobacterium_nucleatum,3.607,423.038,419.431,11628.99,6/28
taxa,Clostridium_phoceensis,Fusobacterium_nucleatum,3.552,422.925,419.373,11807.26,22/28
taxa,Alistipes_senegalensis,Fusobacterium_nucleatum,7.315,426.661,419.346,5732.82,22/28
taxa,Anaerobutyricum_hallii,Fusobacterium_nucleatum,6.06,425.4,419.34,6919.27,18/28
taxa,Ruminococcaceae_unclassified_SGB15234,Fusobacterium_nucleatum,0.958,420.259,419.301,43756.86,12/28
taxa,Roseburia_inulinivorans,Fusobacterium_nucleatum,2.55,421.707,419.157,16438.28,12/28
taxa,Akkermansia_muciniphila,Fusobacterium_nucleatum,4.969,424.122,419.153,8435.78,22/28
taxa,GGB9561_SGB14972,Fusobacterium_nucleatum,2.831,421.92,419.088,14801.47,20/28
taxa,Trueperella_pyogenes,Fusobacterium_nucleatum,9.47,428.522,419.052,4425.01,22/28
taxa,Enterococcus_gallinarum,Fusobacterium_nucleatum,6.184,425.231,419.048,6776.62,22/28
taxa,Lancefieldella_parvula,Fusobacterium_nucleatum,18.3,437.341,419.042,2289.89,24/28
taxa,Phascolarctobacterium_faecium,Fusobacterium_nucleatum,5.01,424.019,419.01,8364.15,14/28
taxa,GGB6547_SGB9247,Fusobacterium_nucleatum,6.992,425.974,418.982,5992.57,8/28
taxa,Blautia_hydrogenotrophica,Fusobacterium_nucleatum,17.258,436.222,418.964,2427.64,2/28
taxa,Dialister_hominis,Fusobacterium_nucleatum,3.928,422.825,418.897,10664.69,16/28
taxa,Romboutsia_timonensis,Fusobacterium_nucleatum,2.858,421.736,418.878,14658.26,12/28
