fold,test_cohort,run,base,contributing,base_IG_1D,contributing_IG_1D,IG_2D_added,total_IG
0,Public_study__FengQ_2015,0,Streptococcus_gallolyticus,Parvimonas_micra,44.26220703125,348.864501953125,331.970947265625,376.233154296875
0,Public_study__FengQ_2015,0,Parvimonas_micra,Streptococcus_gallolyticus,348.864501953125,44.26220703125,27.36865234375,376.233154296875
0,Public_study__FengQ_2015,0,Lactobacillus_mucosae,Parvimonas_micra,0.73828125,348.864501953125,354.529296875,355.267578125
0,Public_study__FengQ_2015,0,Oxalobacter_formigenes,Parvimonas_micra,4.906494140625,348.864501953125,351.748779296875,356.6552734375
0,Public_study__FengQ_2015,0,GGB4277_SGB5832,Parvimonas_micra,16.11279296875,348.864501953125,338.58154296875,354.6943359375
0,Public_study__FengQ_2015,0,Clostridium_phoceensis,Parvimonas_micra,2.9443359375,348.864501953125,357.844482421875,360.788818359375
0,Public_study__FengQ_2015,0,Eubacterium_rectale,Parvimonas_micra,10.260498046875,348.864501953125,350.005859375,360.266357421875
0,Public_study__FengQ_2015,0,Lactobacillus_gasseri,Parvimonas_micra,35.84716796875,348.864501953125,340.311767578125,376.158935546875
0,Public_study__FengQ_2015,0,Parvimonas_micra,Lactobacillus_gasseri,348.864501953125,35.84716796875,27.29443359375,376.158935546875
0,Public_study__FengQ_2015,0,Clostridium_symbiosum,Parvimonas_micra,28.70458984375,348.864501953125,341.142333984375,369.846923828125
0,Public_study__FengQ_2015,0,Roseburia_faecis,Parvimonas_micra,32.39599609375,348.864501953125,342.88232421875,375.2783203125
0,Public_study__FengQ_2015,0,Parvimonas_micra,Roseburia_faecis,348.864501953125,32.39599609375,26.413818359375,375.2783203125
0,Public_study__FengQ_2015,0,Limosilactobacillus_reuteri,Parvimonas_micra,4.97216796875,348.864501953125,351.017333984375,355.989501953125
0,Public_study__FengQ_2015,0,Desulfovibrionaceae_bacterium,Parvimonas_micra,26.1650390625,348.864501953125,337.4326171875,363.59765625
0,Public_study__FengQ_2015,0,Intestinimonas_gabonensis,Parvimonas_micra,24.1728515625,348.864501953125,347.939208984375,372.112060546875
0,Public_study__FengQ_2015,0,Parvimonas_micra,Intestinimonas_gabonensis,348.864501953125,24.1728515625,23.24755859375,372.112060546875
0,Public_study__FengQ_2015,0,Mediterraneibacter_butyricigenes,Parvimonas_micra,1.893310546875,348.864501953125,354.004150390625,355.8974609375
0,Public_study__FengQ_2015,0,GGB9615_SGB15052,Parvimonas_micra,10.251708984375,348.864501953125,344.697998046875,354.94970703125
0,Public_study__FengQ_2015,0,Parabacteroides_distasonis,Parvimonas_micra,0.17822265625,348.864501953125,356.315185546875,356.493408203125
0,Public_study__FengQ_2015,0,Streptococcus_lutetiensis,Parvimonas_micra,2.953369140625,348.864501953125,353.909912109375,356.86328125
0,Public_study__FengQ_2015,0,Fusicatenibacter_saccharivorans,Parvimonas_micra,9.12060546875,348.864501953125,362.823486328125,371.944091796875
0,Public_study__FengQ_2015,0,Parvimonas_micra,Fusicatenibacter_saccharivorans,348.864501953125,9.12060546875,23.07958984375,371.944091796875
0,Public_study__FengQ_2015,0,Rikenellaceae_unclassified_SGB2227,Parvimonas_micra,8.2392578125,348.864501953125,347.192626953125,355.431884765625
0,Public_study__FengQ_2015,0,Desulfovibrio_piger,Parvimonas_micra,32.021240234375,348.864501953125,338.868408203125,370.8896484375
0,Public_study__FengQ_2015,0,Parvimonas_micra,Desulfovibrio_piger,348.864501953125,32.021240234375,22.025146484375,370.8896484375
0,Public_study__FengQ_2015,0,Clostridium_sp_AF36_4,Parvimonas_micra,11.2763671875,348.864501953125,364.92919921875,376.20556640625
0,Public_study__FengQ_2015,0,Parvimonas_micra,Clostridium_sp_AF36_4,348.864501953125,11.2763671875,27.341064453125,376.20556640625
0,Public_study__FengQ_2015,0,Campylobacter_ureolyticus,Parvimonas_micra,76.5966796875,348.864501953125,306.06103515625,382.65771484375
0,Public_study__FengQ_2015,0,Parvimonas_micra,Campylobacter_ureolyticus,348.864501953125,76.5966796875,33.793212890625,382.65771484375
0,Public_study__FengQ_2015,0,Gemella_haemolysans,Parvimonas_micra,8.2900390625,348.864501953125,351.8857421875,360.17578125
0,Public_study__FengQ_2015,0,Lachnospiraceae_unclassified_SGB4894,Parvimonas_micra,0.192626953125,348.864501953125,356.40087890625,356.593505859375
0,Public_study__FengQ_2015,0,GGB9603_SGB15035,Parvimonas_micra,1.75,348.864501953125,353.9580078125,355.7080078125
0,Public_study__FengQ_2015,0,Alistipes_finegoldii,Parvimonas_micra,1.9482421875,348.864501953125,352.9375,354.8857421875
0,Public_study__FengQ_2015,0,Eubacterium_sp_AM28_29,Parvimonas_micra,10.108642578125,348.864501953125,346.65771484375,356.766357421875
0,Public_study__FengQ_2015,0,Blautia_sp_OF03_15BH,Parvimonas_micra,4.7431640625,348.864501953125,357.793701171875,362.536865234375
0,Public_study__FengQ_2015,0,Lancefieldella_parvula,Parvimonas_micra,20.24462890625,348.864501953125,352.759521484375,373.004150390625
0,Public_study__FengQ_2015,0,Parvimonas_micra,Lancefieldella_parvula,348.864501953125,20.24462890625,24.1396484375,373.004150390625
0,Public_study__FengQ_2015,0,Opitutales_bacterium,Parvimonas_micra,16.161865234375,348.864501953125,339.44140625,355.603271484375
0,Public_study__FengQ_2015,0,GGB9707_SGB15229,Parvimonas_micra,0.001953125,348.864501953125,355.232666015625,355.234619140625
0,Public_study__FengQ_2015,0,Bilophila_wadsworthia,Parvimonas_micra,6.9306640625,348.864501953125,365.545166015625,372.475830078125
0,Public_study__FengQ_2015,0,Parvimonas_micra,Bilophila_wadsworthia,348.864501953125,6.9306640625,23.611328125,372.475830078125
0,Public_study__FengQ_2015,0,Lactobacillus_vaginalis,Parvimonas_micra,19.258544921875,348.864501953125,351.95556640625,371.214111328125
0,Public_study__FengQ_2015,0,Parvimonas_micra,Lactobacillus_vaginalis,348.864501953125,19.258544921875,22.349609375,371.214111328125
0,Public_study__FengQ_2015,0,Clostridia_bacterium,Parvimonas_micra,0.14794921875,348.864501953125,358.97265625,359.12060546875
0,Public_study__FengQ_2015,0,Barnesiella_intestinihominis,Parvimonas_micra,21.48486328125,348.864501953125,345.59521484375,367.080078125
0,Public_study__FengQ_2015,0,Solobacterium_SGB6833,Parvimonas_micra,98.3759765625,348.864501953125,277.714111328125,376.090087890625
0,Public_study__FengQ_2015,0,Parvimonas_micra,Solobacterium_SGB6833,348.864501953125,98.3759765625,27.2255859375,376.090087890625
0,Public_study__FengQ_2015,0,Lachnospiraceae_bacterium_BX3,Parvimonas_micra,21.926025390625,348.864501953125,355.89501953125,377.821044921875
0,Public_study__FengQ_2015,0,Parvimonas_micra,Lachnospiraceae_bacterium_BX3,348.864501953125,21.926025390625,28.95654296875,377.821044921875
0,Public_study__FengQ_2015,0,Phocaeicola_coprocola,Parvimonas_micra,10.391845703125,348.864501953125,344.288330078125,354.68017578125
0,Public_study__FengQ_2015,0,Odoribacter_splanchnicus,Parvimonas_micra,9.549560546875,348.864501953125,353.76806640625,363.317626953125
0,Public_study__FengQ_2015,0,Lactobacillus_delbrueckii,Parvimonas_micra,0.06884765625,348.864501953125,355.552490234375,355.621337890625
0,Public_study__FengQ_2015,0,GGB9557_SGB14966,Parvimonas_micra,6.169921875,348.864501953125,349.598876953125,355.768798828125
0,Public_study__FengQ_2015,0,GGB4584_SGB6338,Parvimonas_micra,3.780517578125,348.864501953125,355.129638671875,358.91015625
0,Public_study__FengQ_2015,0,Streptococcus_parasanguinis,Parvimonas_micra,0.02197265625,348.864501953125,361.27587890625,361.2978515625
0,Public_study__FengQ_2015,0,Gemella_morbillorum,Parvimonas_micra,232.5859375,348.864501953125,167.077880859375,399.663818359375
0,Public_study__FengQ_2015,0,Parvimonas_micra,Gemella_morbillorum,348.864501953125,232.5859375,50.79931640625,399.663818359375
0,Public_study__FengQ_2015,0,Prevotella_sp_885,Parvimonas_micra,6.419921875,348.864501953125,351.185791015625,357.605712890625
0,Public_study__FengQ_2015,0,Lentisphaeria_bacterium,Parvimonas_micra,15.5537109375,348.864501953125,347.279296875,362.8330078125
0,Public_study__FengQ_2015,0,Allisonella_histaminiformans,Parvimonas_micra,28.529296875,348.864501953125,342.81103515625,371.34033203125
0,Public_study__FengQ_2015,0,Parvimonas_micra,Allisonella_histaminiformans,348.864501953125,28.529296875,22.475830078125,371.34033203125
0,Public_study__FengQ_2015,0,Butyricimonas_faecihominis,Parvimonas_micra,11.135009765625,348.864501953125,348.648193359375,359.783203125
0,Public_study__FengQ_2015,0,Fusobacterium_nucleatum,Parvimonas_micra,410.904541015625,348.864501953125,107.705078125,518.609619140625
